flux_fraction,E0-E0_GHz,E1-E0_GHz,E2-E0_GHz,E3-E0_GHz,E4-E0_GHz,E5-E0_GHz
0.0,0.0,8.758445262716315,8.979552616574537,11.002034349556386,16.932990026867834,19.571859621093175
0.005,0.0,8.730577629817358,9.006893796393129,11.002439826196285,16.931897034648365,19.572208410695332
0.01,0.0,8.668781244976865,9.067102759087774,11.00366422640337,16.928621577834427,19.57325139183925
0.015,0.0,8.594767867982672,9.138443351925616,11.005731664877107,16.923174157014554,19.57497846250786
0.02,0.0,8.515878486388718,9.21353325235248,11.008683011561121,16.915572079137746,19.57737298677356
0.025,0.0,8.434573122271864,9.28985314527258,11.012576905616601,16.905839174855245,19.580412087481452
0.03,0.0,8.351850160161039,9.366325987978204,11.017491159746733,16.8940054189481,19.584067039708682
0.035,0.0,8.268188256636547,9.442373334650881,11.023524522412147,16.8801064685885,19.588303750102224
0.04,0.0,8.183848259252827,9.51761136210426,11.030798728571012,16.864183136572763,19.593083304775046
0.045,0.0,8.09898713620904,9.591734727214039,11.039460707015989,16.846280817967973,19.598362567104953
0.05,0.0,8.013707028014217,9.664465374613979,11.049684714404613,16.826448888836588,19.60409480652661
0.055,0.0,7.9280786873086955,9.735527400588303,11.061674023807754,16.804740094964757,19.61023034013072
0.06,0.0,7.84215365890728,9.804634182182337,11.075661606580512,16.781209946975196,19.616717170412045
0.065,0.0,7.755971060071898,9.87148269362409,11.091909025326006,16.755916136080153,19.623501604629475
0.07,0.0,7.669561579346668,9.935753378534848,11.110702550992656,16.728917982243004,19.630528843733458
0.075,0.0,7.5829499542195045,9.99711539296558,11.132345428623344,16.700275923883826,19.637743531464825
0.08,0.0,7.496156573266915,10.055237464819207,11.15714540032429,16.670051055669866,19.645090256850093
0.085,0.0,7.409198551623492,10.109804278745484,11.18539722727827,16.63830471852332,19.652514005771376
0.09,0.0,7.32209047710921,10.160537273645657,11.21736112602521,16.605098143855983,19.65996055946323
0.095,0.0,7.234844943219028,10.207217265843347,11.25323958939687,16.570492152268198,19.667376839641573
0.1,0.0,7.147472939881927,10.249704942159173,11.293156476530783,16.534546905549547,19.674711201454393
0.105,0.0,7.059984146652355,10.287954790729852,11.337142758954084,16.49732170979371,19.681913676591623
0.11,0.0,6.972387157281147,10.322019044972311,11.385132317773095,16.45887486675689,19.688936169704277
0.115,0.0,6.884689654925361,10.352040592908214,11.436968819759716,16.41926357022886,19.695732611819597
0.12,0.0,6.796898551112769,10.378236621931187,11.492421888243971,16.378543844087257,19.702259074730648
0.125,0.0,6.709020097592775,10.400876815243846,11.551208742371093,16.33677051885032,19.708473850440562
0.13,0.0,6.621059977558863,10.420260464740066,11.613016932141859,16.293997243875886,19.714337499697255
0.135,0.0,6.533023380934081,10.43669603466213,11.677524628599217,16.250276532861832,19.71981287349893
0.14,0.0,6.4449150671709114,10.450485192688623,11.744416447057631,16.205659840956702,19.724865111226443
0.145,0.0,6.356739418147246,10.461911849213443,11.813394257569534,16.160197672587355,19.729461618785695
0.15,0.0,6.268500483116493,10.471235727661309,11.88418345475385,16.113939720059747,19.733572029850027
0.155,0.0,6.180202017217248,10.478689499607338,11.956535647870814,16.06693503410807,19.73716815299215
0.16,0.0,6.091847514716112,10.484478429061653,12.030228820768453,16.019232228901185,19.740223907198263
0.165,0.0,6.0034402379090315,10.48878160367186,12.105065876892084,15.970879725628752,19.742715247978428
0.17,0.0,5.9149832424180815,10.491754046175565,12.180872267464537,15.92192604076935,19.744620086021246
