N,E0_GHz,E1_GHz,E2_GHz,E1-E0_GHz,error_E0_GHz,error_E1_GHz,error_E2_GHz
20,-0.6199327541240603,-0.2534419920384675,8.695236251266323,0.36649076208559284,0.010078754191463202,0.013148138443589363,0.061101534437526084
30,-0.6296075433336048,-0.26604916785469657,8.75445336463632,0.36355837547890824,0.0004039649819187474,0.0005409626273603085,0.001884421067529729
40,-0.6299902781211248,-0.2665662085206754,8.756215063187732,0.36342406960044943,2.123019439870255e-05,2.3921961381456747e-05,0.0001227225161173351
60,-0.6300115083155235,-0.2665901304820569,8.756337785703849,0.3634213778334667,0.0,0.0,0.0
